iter	Passed	Remaining
0	1	124
1	2	111
2	3	101
3	3	94
4	4	93
5	5	91
6	6	88
7	7	87
8	8	86
9	9	85
10	10	83
11	10	80
12	11	78
13	12	76
14	13	77
15	14	77
16	15	75
17	16	74
18	16	72
19	17	71
20	19	71
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	56
39	36	55
40	37	54
41	38	52
42	39	52
43	40	51
44	41	51
45	43	50
46	44	49
47	45	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	73	14
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	79	7
91	79	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
